"statename","stateTaxRate","avgLocalTaxRate","combinedRate","Pop"
"California","7.2500","1.3100","8.5600","39937500"
"Tennessee","7","2.4700","9.4700","6897580"
"Rhode Island","7","0","7","1056160"
"Mississippi","7","0.0700","7.0700","2989260"
"Indiana","7","0","7","6745350"
"Minnesota","6.8800","0.5500","7.4300","5700670"
"Nevada","6.8500","1.2900","8.1400","3139660"
"New Jersey","6.6300","-0.0300","6.6000","8936570"
"Washington","6.5000","2.6700","9.1700","7797100"
"Kansas","6.5000","2.1700","8.6700","2910360"
"Arkansas","6.5000","2.9300","9.4300","3039000"
"Connecticut","6.3500","0","6.3500","3563080"
"Texas","6.2500","1.9400","8.1900","29472300"
"Massachusetts","6.2500","0","6.2500","6976600"
"Illinois","6.2500","2.4900","8.7400","12659700"
"West Virginia","6","0.3900","6.3900","1778070"
"Vermont","6","0.1800","6.1800","628061"
"South Carolina","6","1.4300","7.4300","5210100"
"Pennsylvania","6","0.3400","6.3400","12820900"
"Michigan","6","0","6","10045000"
"Maryland","6","0","6","6083120"
"Kentucky","6","0","6","4499690"
"Iowa","6","0.8200","6.8200","3179850"
"Idaho","6","0.0300","6.0300","1826160"
"Florida","6","1.0500","7.0500","21993000"
"Utah","5.9500","0.9900","6.9400","3282120"
"Ohio","5.7500","1.4200","7.1700","11747700"
"Arizona","5.6000","2.7700","8.3700","7378490"
"Nebraska","5.5000","1.3500","6.8500","1952570"
"Maine","5.5000","0","5.5000","1345790"
"Virginia","5.3000","0.3500","5.6500","8626210"
"New Mexico","5.1300","2.6900","7.8200","2096640"
"Wisconsin","5","0.4400","5.4400","5851750"
"North Dakota","5","1.8500","6.8500","761723"
"North Carolina","4.7500","2.2200","6.9700","10611900"
"South Dakota","4.5000","1.9000","6.4000","903027"
"Oklahoma","4.5000","4.4200","8.9200","3954820"
"Louisiana","4.4500","5","9.4500","4645180"
"Missouri","4.2300","3.9000","8.1300","6169270"
"Wyoming","4","1.3600","5.3600","567025"
"New York","4","4.4900","8.4900","19440500"
"Hawaii","4","0.4100","4.4100","1412690"
"Georgia","4","3.2900","7.2900","10736100"
"Alabama","4","5.1400","9.1400","4908620"
"Colorado","2.9000","4.7300","7.6300","5845530"
"Oregon","0","0","0","4301090"
"New Hampshire","0","0","0","1371250"
"Montana","0","0","0","1086760"
"Delaware","0","0","0","982895"
"Alaska","0","1.4300","1.4300","734002"
